节次，901 班，902 班，903 班，904 班，905 班，906 班，907 班，908 班
周一第 1 节，语文，语文，英语，英语，数学，数学，科学，科学
周一第 2 节，数学，数学，数学，数学，英语，英语，语文，语文
周一第 3 节，英语，英语，科学，科学，语文，语文，数学，数学
周一第 4 节，科学，科学，社会，社会，科学，科学，英语，英语
周一第 5 节，社会，社会，语文，语文，社会，社会，科学，科学
周一第 6 节，自习，自习，班会，班会，体育，体育，自习，自习
周二第 1 节，数学，数学，英语，英语，语文，语文，科学，科学
周二第 2 节，英语，英语，语文，语文，数学，数学，社会，社会
周二第 3 节，语文，语文，数学，数学，英语，英语，数学，数学
周二第 4 节，科学，科学，社会，社会，科学，科学，语文，语文
周二第 5 节，社会，社会，科学，科学，社会，社会，英语，英语
周二第 6 节，体育，体育，自习，自习，班会，班会，自习，自习
周三第 1 节，语文，语文，数学，数学，科学，科学，英语，英语
周三第 2 节，数学，数学，英语，英语，语文，语文，科学，科学
周三第 3 节，英语，英语，科学，科学，数学，数学，语文，语文
周三第 4 节，科学，科学，社会，社会，英语，英语，数学，数学
周三第 5 节，社会，社会，语文，语文，社会，社会，科学，科学
周三第 6 节，班会，班会，体育，体育，自习，自习，自习，自习
周四第 1 节，英语，英语，语文，语文，数学，数学，科学，科学
周四第 2 节，数学，数学，科学，科学，英语，英语，语文，语文
周四第 3 节，语文，语文，数学，数学，科学，科学，数学，数学
周四第 4 节，社会，社会，英语，英语，语文，语文，科学，科学
周四第 5 节，科学，科学，社会，社会，社会，社会，英语，英语
周四第 6 节，自习，自习，自习，自习，体育，体育，班会，班会
周五第 1 节，数学，数学，语文，语文，英语，英语，社会，社会
周五第 2 节，语文，语文，英语，英语，科学，科学，数学，数学
周五第 3 节，英语，英语，数学，数学，语文，语文，科学，科学
周五第 4 节，科学，科学，社会，社会，数学，数学，语文，语文
周五第 5 节，社会，社会，科学，科学，社会，社会，英语，英语
周五第 6 节，语文，语文，语文，语文，班会，班会，自习，自习
