订单编号，销售日期，销售人员，产品类别，产品名称，销售数量，单价，销售金额，客户地区
ORD001,2025-01-05，张三，电子产品，笔记本电脑，2,5999,11998，华东
ORD002,2025-01-08，李四，办公用品，打印纸，50,25,1250，华北
ORD003,2025-01-12，张三，电子产品，鼠标，10,89,890，华东
ORD004,2025-01-15，王五，家具，办公椅，5,599,2995，华南
ORD005,2025-01-18，李四，办公用品，文件夹，100,8,800，华北
ORD006,2025-01-22，赵六，电子产品，键盘，8,199,1592，华西
ORD007,2025-01-25，张三，家具，办公桌，3,1299,3897，华东
ORD008,2025-01-28，王五，办公用品，中性笔，200,3,600，华南
ORD009,2025-02-02，李四，电子产品，显示器，4,1599,6396，华北
ORD010,2025-02-05，赵六，家具，文件柜，2,899,1798，华西
ORD011,2025-02-08，张三，办公用品，订书机，30,15,450，华东
ORD012,2025-02-12，王五，电子产品，U 盘，20,49,980，华南
ORD013,2025-02-15，李四，家具，沙发，1,2999,2999，华北
ORD014,2025-02-18，赵六，办公用品，胶水，50,5,250，华西
ORD015,2025-02-22，张三，电子产品，耳机，15,199,2985，华东
ORD016,2025-02-25，王五，办公用品，笔记本，80,12,960，华南
ORD017,2025-03-01，李四，电子产品，平板电脑，3,3299,9897，华北
ORD018,2025-03-05，赵六，家具，书柜，2,1599,3198，华西
ORD019,2025-03-08，张三，办公用品，白板，5,299,1495，华东
ORD020,2025-03-12，王五，电子产品，移动硬盘，10,399,3990，华南
ORD021,2025-03-15，李四，家具，茶几，2,799,1598，华北
ORD022,2025-03-18，赵六，办公用品，计算器，25,35,875，华西
ORD023,2025-03-22，张三，电子产品，路由器，6,299,1794，华东
ORD024,2025-03-25，王五，办公用品，档案盒，60,18,1080，华南
ORD025,2025-03-28，李四，电子产品，摄像头，8,159,1272，华北
ORD026,2025-04-02，赵六，家具，床，1,3599,3599，华西
ORD027,2025-04-05，张三，办公用品，剪刀，40,8,320，华东
ORD028,2025-04-08，王五，电子产品，音箱，5,499,2495，华南
ORD029,2025-04-12，李四，家具，衣柜，1,4599,4599，华北
ORD030,2025-04-15，赵六，办公用品，回形针，100,2,200，华西
ORD031,2025-04-18，张三，电子产品，充电器，20,59,1180，华东
ORD032,2025-04-22，王五，办公用品，便签纸，150,6,900，华南
ORD033,2025-04-25，李四，电子产品，数据线，30,29,870，华北
ORD034,2025-04-28，赵六，家具，餐桌，2,2199,4398，华西
ORD035,2025-05-02，张三，办公用品，文件袋，80,10,800，华东
ORD036,2025-05-05，王五，电子产品，充电宝，12,129,1548，华南
ORD037,2025-05-08，李四，家具，床垫，2,1999,3998，华北
ORD038,2025-05-12，赵六，办公用品，胶带，60,7,420，华西
ORD039,2025-05-15，张三，电子产品，网线，25,5,125，华东
ORD040,2025-05-18，王五，办公用品，长尾夹，100,4,400，华南
ORD041,2025-05-22，李四，电子产品，转换头，15,39,585，华北
ORD042,2025-05-25，赵六，家具，凳子，5,199,995，华西
ORD043,2025-05-28，张三，办公用品，笔筒，30,12,360，华东
ORD044,2025-06-02，王五，电子产品，蓝牙适配器，10,49,490，华南
ORD045,2025-06-05，李四，家具，梳妆台，1,1899,1899，华北
ORD046,2025-06-08，赵六，办公用品，美工刀，40,6,240，华西
ORD047,2025-06-12，张三，电子产品，读卡器，15,35,525，华东
ORD048,2025-06-15，王五，办公用品，信封，200,1,200，华南
ORD049,2025-06-18，李四，电子产品，支架，8,89,712，华北
ORD050,2025-06-22，赵六，家具，鞋柜，2,699,1398，华西
